,CTYPE,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,TCT,S,PPQ,SIAE
HH5-CNRM-CM6-MM-VCM0.65-275M,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,275,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.80-50M-33S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.80,50,33,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-50M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.60,50,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-50M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,50,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-100M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,100,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-200M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,200,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-300M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,300,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-400M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,400,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-500M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,500,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-600M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,600,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-350M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,350,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-50M-40S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,50,40,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.80-50M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.80,50,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.80-50M-35S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.80,50,35,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.80-300M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.80,300,34,0.6,1.25
