,CTYPE,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,TCT,S,PPQ,SIAE
MAR-CNRM-CM6-MM-VCM0.65-100M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,100,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.65-150M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,150,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.65-175M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,175,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.65-200M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,200,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.65-300M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,300,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.60-150M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.60,150,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.60-175M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.60,175,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.60-200M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.60,200,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.60-200M-34S-1.5E,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.60,200,34,0.6,1.5
MAR-CNRM-CM6-MM-VCM0.60-300M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.60,300,34,0.6,1.25
