id,vcm,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,climate,hydrology,frontal_melt,ocean_file,climate_file,runoff_file,gamma_T,salinity,thickness_calving_threshold,fractures
10,0.40844465050167345,1.9918374,3.3321872,0.7129986,0.019148434,10.979681,40.720715,-416.44833,458.13666,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
11,0.3927087883892134,2.3814554,3.3148541,0.7234347,0.01587593,6.49485,43.45241,-404.86807,319.69205,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
12,0.35844782623676474,2.7814004,3.3062549,0.5588364,0.025530932,5.397504,41.049866,-495.00674,399.19412,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
13,0.44105716816786983,3.1173356,3.3450537,0.5860265,0.021151489,6.0694327,43.87091,-690.5185,633.77716,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
14,0.4310052426546602,2.412332,3.3227472,0.87725884,0.021007868,7.4376388,41.556538,-315.81058,462.301,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
15,0.37526098431250926,1.9431654,3.287091,0.613681,0.017173957,7.7014704,40.384693,-433.68176,288.29446,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
16,0.28345484418514616,2.4674869,3.3455694,0.77116483,0.015526168,9.257821,42.213413,-241.21129,150.7302,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
17,0.47925136029687476,2.9053648,3.3211007,0.7457323,0.018639762,5.5494504,42.67288,-519.9907,269.18695,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
18,0.26257445443818,2.0563977,3.284749,0.766318,0.015844904,5.002752,41.37735,-445.46066,223.75569,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
19,0.374396399073207,2.5309412,3.2233772,0.57823867,0.018450907,6.8949323,44.87764,-422.7,289.78284,given,routing,discharge_routing,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.0001,34,100,false
